,Customer ID,Age,Gender,Annual Income,Spending Score
0,d410ea53-6661-42a9-ad3a-f554b05fd2a7,30,Male,151479,89
1,1770b26f-493f-46b6-837f-4237fb5a314e,58,Female,185088,95
2,e81aa8eb-1767-4b77-87ce-1620dc732c5e,62,Female,70912,76
3,9795712a-ad19-47bf-8886-4f997d6046e3,23,Male,55460,57
4,64139426-2226-4cd6-bf09-91bce4b4db5e,24,Male,153752,76
5,7e211337-e92f-4140-8231-5c9ac7a2aa12,42,Male,158335,40
6,30661d57-eeb5-4886-970a-9c7d0f260ad8,27,Female,163501,37
7,43417ade-6b17-431e-ae76-d8ed26aa46ac,24,Male,70476,17
8,86f73b1a-6a91-4d7e-ad21-0aefcf6111cc,83,Male,47743,34
9,b20fe0a0-e254-4116-b804-5403bb2f59ea,62,Female,63448,3
10,49ba3e9d-a590-4303-b443-e794d0364c11,37,Male,170566,75
11,4be5f5b0-83f6-4bd2-9056-18a8d5414066,63,Female,89355,80
12,eb0e4ebc-fcc1-424f-b083-81987583ecc6,25,Male,87576,17
13,caa4ad5a-51b2-4af1-91cb-e2802f620239,32,Female,159892,96
14,0c9d0e0d-a601-488c-9f3f-f036f2bdb536,51,Female,135079,87
15,dc35a079-c3db-44f4-8612-d0af9daea414,64,Female,32869,81
16,b43f995c-c9ab-4c58-8f71-949de233ac71,19,Male,198682,82
17,51d7be3e-84c9-464a-85e8-0a95b568d90e,89,Male,38708,97
18,8bbbdbbe-7f8a-4c9c-afed-f6969f49e9ac,65,Male,87270,3
19,baa61fc0-4a1f-4210-916b-669d1ec44dbd,26,Male,45518,12
20,05948202-e483-482a-9c02-6a655498002b,21,Male,199879,49
21,6d6d557d-41c3-4992-9ef3-f7d113c78649,70,Male,163828,36
22,dd6223b5-5aae-468b-b936-618b513d4e70,24,Male,109188,6
23,9c702610-d6ce-48fe-9857-9e295e161ceb,39,Female,48212,36
24,1fd446a8-109c-4314-92a2-a1e731923744,61,Male,141596,45
25,65348b4f-9170-4edc-b035-cc484416face,19,Female,192492,57
26,c2fd4929-fc3e-423a-8dd9-1fb239ef4de6,79,Male,109550,7
27,eb6d1dfc-5b3a-4ade-8521-71db4659ad13,61,Female,38132,15
28,896aef6f-4dc1-4b4a-8805-68ced6971458,73,Female,170959,55
29,5963ff82-b2de-453f-bffe-4fed059e18ae,58,Male,80731,23
30,e8db83f2-90bf-410e-bd1a-7c9ee14ca32b,90,Female,123085,25
31,59052529-9a68-4936-93db-43cc1d541e84,39,Female,135748,95
32,767f9ffd-7211-4045-a1d0-f700220928dc,35,Female,71372,52
33,ace9492b-bf39-47eb-8f28-6f85b9cc8973,79,Male,164259,96
34,cfe0eb40-4892-47fd-ac84-29dbd15f7bd4,57,Female,105742,7
35,c5e56dd8-5a20-4bd9-bbc0-97c380553084,76,Male,189412,87
36,96892d38-cadf-4409-83d8-1b7a3b37b05a,40,Male,64309,62
37,068b3da4-216a-4157-9474-929a1a10cb6d,82,Female,84966,66
38,daf07560-6a2e-47af-9c4b-66a63b93ac34,84,Female,35701,5
39,b818a1f8-fdff-41a3-b1ca-de3faee17f81,56,Female,43376,52
40,ea4a4765-11a6-433e-8016-110bc0bc5ed5,21,Female,118137,43
41,d5e8bfcc-51e1-44b2-a59d-9174d10efb97,55,Male,77165,86
42,d29643f1-551e-4353-a560-cf4e6797e003,24,Male,119922,80
43,3e260c72-5788-4641-8dad-9cc7a4eaafef,45,Male,82425,39
44,f67d66e3-9403-4d69-aee7-4a75c2a92e4d,28,Male,149778,15
45,7c3297d0-408b-4e5e-9c4c-abc9816af35a,67,Female,129484,80
46,01552f1a-7600-4641-bed4-8e255b8c61d3,69,Female,73479,77
47,a6fac89e-e7a4-482d-9bb6-d32cd2abc346,26,Female,81259,29
48,b6e3dfc4-1a49-4424-a0d9-d0f796002933,45,Male,147126,1
